CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
감자과일샐러드,삶기, 감자 오이 삶은계란 크렌베리 땅콩 마요네즈 꿀
감자샐러드,삶기, 중간 크기 감자 달걀 오이 양파 마요네즈 소금 후추 
삼겹살보쌈,삶기, 구이용 삼겹살 통파 통마늘 통후추 생강 월계수잎
물만두,삶기, 다진 돼지고기 부추 밀가루 물 소금 다진마늘 다진파 청주 굴소스 참기름 포도씨유 소금 후춧가루 
꼬막삶기,삶기, 꼬막 소금 물 
삼겹살보쌈,삶기, 삼겹살 무 대파 소주 물 새우젓 쌈채소 배 무생채 다진마늘 멸치액젓 매실액 고춧가루 검은통깨
감자샐러드,삶기, 감자 삶은달걀 오이 양파 크래미게살 마요네즈 고운소금 후추가루 
감자삶는법,삶기, 감자
삼겹살보쌈,삶기, 통삼겹살 양파 대파 마늘 생강 된장 월계수잎 통후추 소주 묵은지 김치 무말랭이 무침 새우젓 
감자샐러드,삶기, 작은감자 삶은 달걀 완두콩 당근 소금 후춧가루 설탕 마요네즈 플레인 요구르트 
열무김치말이국수,삶기, 국수 열무김치 시판냉면육수 삶은계란 
간장보쌈,삶기, 돼지고기목살 대파 양파 마늘톨 생강 통후추 간장 맛술 참기름 
감자샐러드,삶기, 감자 계란 오이 맛살 마요네즈 떠먹는 요구르트 소금 후추 머스타드소스 
에그샌드위치,삶기, 계란 식빵 마요네즈 스위트피클 후춧가루 설탕 
스지수육,삶기, 스지 양파 고추 월계수잎 부추 양파채 소금 후춧가루
사과단자,삶기, 사과 찹쌀가루 딸기가루 코코넛가루 장식용대추 호박씨 사과필링 설탕 계피가루 사과정과 설탕 
달걀치즈샌드위치,삶기, 식빵 달걀 오이 양파 슬라이스 치즈 슬라이스 햄 마요네즈 소금 후춧가루 설탕 버터 
보쌈,삶기, 삼겹살 양파 마늘 된장 청주 커피 후추 생강 미림 
수육삶는법,삶기, 돼지고기 대파 양파 통후추 통마늘 커피가루 된장 
돼지고기수육,삶기, 앞다리살 물 된장 통후추 대파흰부분 마늘 생강 월계수잎 
초계국수,삶기, 닭 오가피 마늘 대파 양파 황기 엄나무 당귀 파프리카 양상추 오이 수박 겨자 냉면육수 식초 달걀 메밀면
감자샐러드,삶기, 감자 오이 당근 양파 햄 마요네즈 레몬즙 후추 소금 
매쉬드포테이토,삶기, 감자 슬라이드치즈 소금
숙주나물,삶기, 숙주나물 굵은소금 가는소금 대파 다진마늘 깨소금 참기름 씩
국수,삶기, 소면 냉면육수 총각김치 초고추장 설탕 참기름 통깨
보쌈,삶기, 삼겹살 무 대파 소주 물 부추 부추겉절이 통후추 멸치액젓 작은술 고춧가루 매실액 통깨 
준순손질,삶기, 죽순
달걀컵초밥,삶기, 밥 달걀 데친 당근 파 마요네즈 초밥 식초 설탕 소금 
수육,삶기, 돼지고기목살 맥주 통후추
골뱅이소면,삶기, 골뱅이 오이 소면 고추장 고추가루 다진마늘 참기름 간장 깨 식초 설탕 올리고당 
