CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
시금치무침,무침, 시금치 작은크기 하는 방법참치진국 식초 설탕 다진 마늘 하는 방법백년동안 벌꿀맛 흑초 참치진국 다진 마늘 
야콘생채,무침, 야콘 고춧가루 꽃소금 다진마늘 식초 참기름 통깨 
고들빼기김치,무침, 고들빼기 실파 멸치액젓 소금 고춧가루 새우젓 다진마늘 생강 통깨 찹쌀가루 
꼬막무침,무침, 꼬막 간장 청주 올리고당 매실청 고춧가루 다진파 다진마늘 통깨 참기름 
도라지오이나물,무침, 도라지 취청오이 대파 고추가루 설탕 식초 물엿 파 마늘 참기름 통깨
보쌈,무침, 배추 쪽파 양파 천일염 돼지고기수육용 목삼겹 통마늘 통후추 대파 된장 인스턴트 커피 물 고춧가루 새우젓 건더기 다진마늘 설탕 소금 통깨 물 
파래무침,무침, 파래 다진마늘 다진대파 고춧가루 설탕 식초 깨소금 액젓
톳나물두부무침,무침, 톳 두부 참기름 다진마늘 다진대파 깨소금 액젓
오징어초무침,무침, 오징어 오이 양파 당근 고추 파 고춧가루 식초 마늘 설탕 깨
무말랭이초무침,무침, 무말랭이 고추장 고춧가루 매실엑기스 설탕 물엿 소금 간장 다진마늘 다진파 통깨 
브로콜리된장샐러드,무침, 브로콜리 빨강파프리카 일본된장 생수 마늘 통깨 참기름 
시금치단감샐러드,무침, 시금치 단감 마요네즈 샐러드채소 드레싱 요거트
양념게장,무침, 꽃게 간장게장 간장 고춧가루 청양고춧가루 배 양파 쪽파 청양고추 홍고추 다진마늘 생강즙 작은술 매실 원액 물엿 깨 간 것 
굴무생채,무침, 무 굴 부추 다진마늘 고춧가루 소금 멸치액젓 설탕 통깨 
샐러리단무지무침,무침, 단무지 청양고추 곱게썬대파 샐러리 고추가루 소금 다진 마늘 참깨 참기름 
쥐포무침,무침, 동전쥐포 고추장 매실액기스 올리고당 간장 다진마늘 실파 참깨 고추가루 청주 참기름 
콩나물맛살샐러드,무침, 맛살 콩나물 당근 사과 땅콩 참깨 마요네즈 식초 설탕 아가베시럽이나 꿀 우유 연겨자 소금 
배추겉절이,무침, 배추 굵은소금 대파 청고추 당근 홍고추 무즙 배즙 양파즙 고춧가루 까나리액젓 새우젓 설탕 다진마늘 생강 소금
도라지무침,무침, 도라지 고추장 식초 설탕 마늘 참기름 깨 조미료 물엿
