CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
뚝배기계란찜,찜, 계란 물 새우젓국물 다진 대파 고춧가루 
고구마돼지갈비찜,찜, 돼지갈비 고구마 은행 밤 대추 잣가루 물 간장 배즙 양파즙 물엿 설탕 매실 원액 다진 마늘 카라멜 다진 생강 곱게 썬 대파 청주 참기름 후춧가루 통깨 
대하찜,찜, 대하 갈은 소고기 대파 청고추 홍고추 달걀 석이버섯 당근 애호박 다진마늘 간장 참기름 후추 
찜,찜, 아귀 낙지 새우 미더덕 굵은 콩나물 미나리 대파 청양고추 된장 멸치육수 물녹말 소금 후추 참기름 고춧가루 국간장 소금 다진 마늘 청주 다진생강 설탕 
아구찜,찜, 아구말리기전 무게 콩나물 물 된장 옵션 멸치 새우 표고가루 고추가루 고추장 마늘 청주 굴소스 다진파 다진 홍고추또는 고추씨가루 참기름 
무지개떡케이크,찜, 쌀가루 단호박가루 녹차가루 딸기가루 포도가루 코코아분말 호두 호박씨 쌀가루 설탕 물 
굴비찜,찜, 굴비 생강 청양고추 홍고추 파 청주 
야채찜케이크,찜, 파프리카 건포도 애호박 당근 박력분 우유 설탕 계란 베이킹파우더 
사태찜,찜, 사태 밤 무 당근 대추 대파 통깨 참기름 소금 장 육수 고춧가루 마늘 청주 진간장 참기름 설탕 올리고당 후추 
소고기찜,찜, 쇠고기 가래떡 길이 고기 밑간 간장 설탕 후추 참기름 맛간장조림간장 샐러드유 물 물엿 참기름 
사태찜,찜, 사태 밤 무 당근 통깨 참기름 대파 장 진간장 국간장 마늘 설탕 올리고당 파인애플주스 후추 참기름 삶는물 물 파뿌리 
가오리콩나물찜,찜, 가오리 콩나물 미나리 대파 후추 참기름 멸치육수 국간장 고춧가루 청주 다진 마늘 소금 
해물만두,찜, 오징어 새우 부추 두부 표고버섯 달걀 만두피 소금 후추 다진마늘
단호박찜케이크,찜, 제과제빵용 쌀가루또는 박력분 단호박 가루 달걀 우유 베이킹파우더 포도씨유 고명을올릴당절임콩 설탕 소금 
찜닭,찜, 닭가슴살 대추 감자 파프리카 간장 마늘 시럽 올리고당 물 참기름 깨
삼겹살김치찜,찜, 김치 삼겹살 홍고추 대파 김칫국물 다시마육수 설탕 소금 미림 국간장 다진파 마늘 참기름 고춧가루 
꽃게찜,찜, 꽃게 간장 들기름 다진마늘 고추가루 물
달걀찜,찜, 계란 카레가루 청주 또는 소주 소금 후추 물 
토마토소스홍합찜,찜, 홍합 정도 방울토마토 또는 토마토 다진 양파 다진 마늘 화이트 와인 올리브 오일 버터 허브 가루 
간장닭찜,찜, 닭 감자 당근 청피망 떡볶이 떡 간장 설탕 다진 파 다진 마늘 생강즙 맛술 참기름 후추 
묵은지돼지고기찜,찜, 돼지고기앞다리살 삼겹살 잘익은 김치 김치국물 멸치다싯물 물 국간장 설탕 맛술 다진마늘 대파 후춧가루 
만두,찜, 김치 약 두부 당면 약 대파 통조림용 참치 약 시금치 약 만두피 다진마늘 소금 후추 참기름 
해물떡찜,찜, 떡 느타리버섯 깻잎 양파 대파 빨강 파프리카 노랑 파르리카 홍합 꽃게 미더덕 오징어 대하 대합 가리비 삶은 계란 고추장 고추가루 매실액 마늘 진간장 청주 큰술 참기름 깨소금 
계란찜,찜, 달걀 다진파 칵테일새우 청주 간장 물 달걀과동량
돼지고기김치찜,찜, 돼지고기 앞다리살 김치 대파 양파 청고추 홍고추 새송이버섯 고춧가루 후추 다진마늘 매콤한 맛의 굴소스 물 
김치만두,찜, 밀가루 계란 김치만두소 물 소금 
삼겹살김치찜,찜, 배추김치 돼지고기 삼겹살 굵은 파 다진 마늘 멸치 다시마 육수 김치국물 설탕 
대게손질,찜, 대게 없음
가지롤,찜, 가지 팽이버섯 피망 적파프리카 이쑤시개 굴소스 백설 남해 굴소스 사용 간장 물 미림 고춧가루 다진마늘 다진파 후추 참기름 통깨 
팥고물,찜, 국산팥 물 굵은소금 
백설기,찜, 쌀가루 설탕 대추야자 물 
코다리찜,찜, 코다리 한코 약 찜용콩나물 미나리 대파 고춧가루 다진마늘 소금 후추 레몬즙 생강즙 황설탕 새우가루 다시물 
고등어김치찜,찜, 손질고등어 신김치 배추 분량 어슷 썬 대파 청고추 홍고추 멸치육수 쌀뜨물 대체 가능 고춧가루 다진 마늘 다진 생강 된장 설탕 
시루떡,찜, 찹쌀가루 팥고물 설탕 물 
뚝배기계란찜,찜, 계란 당근 새우 쪽파 육수
오곡밥,찜,나물 고사리 다래순 더덕취 취나물 곰취 곤드레 오곡밥 잡곡 찹쌀 적두 대추 고사리 국간장 다진파 다진마늘 들깨가루 들기름 후추 생강가루 그외 나물 국간장 다진파 다진마늘 들기름 소금 씩 오곡밥 소금 
립찜,찜, 등갈비 무우 당근 양파 피망 청고추 삶을 때 물 청주 대파 무우 양파 통후추 생강 월계수잎 장 배 작은크기 간장 미림 설탕 물엿 참기름 깨소금 후추 다진파 다진마늘 
계란찜,찜, 달걀 올리브유 베이컨 간마늘 대파 시금치 버터 소금 후추 
삼겹살김치찜,찜, 열무김치 파김치 삼겹살 고춧가루 다진마늘 다진생강 참기름 
고구마경단,찜, 고구마 中 참깨 검은깨 소금 
달래콩나물밥,찜, 콩나물 달래 찬밥 버터 물 달래 장 간장 고춧가루 깨소금 참기름 
오징어순대,찜, 물오징어 앞다리살 양송이 느타리 당근 두부 청피망 홍피망 양파 전분가루 꼬지 계란 간장 설탕 다진파 참기름 후추 초간장 간장 식초 매실 엑기스 깨소금 
삼계선,찜, 닭안심 소금 후추가루 대추 미삼 녹말가루 겨자소스 겨자 물 식초 설탕 소금 
고등어김치찜,찜, 고등어 작은 것 배추김치 멸치다시마육수 홍고추 대파 고등어밑간 청주 다진 마늘 생강즙이나 가루 맛술 설탕 기호따라서
단호박해물찜,찜, 단호박 모듬해물 칵테일새우 양송이버섯 양파 파프리카 옥수수 통조림 떡 피자치즈 고추장 고추가루 케첩 간장 다진마늘 청주 설탕 참기름 
