CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
문어숙회,데치기, 활돌문어 굵은소금 밀가루 물 무 
문어숙회,데치기, 활돌 문어 문어 손질 천일염 밀가루 소주 문어삶기 물 무 식초 초고추장 고추장 황설탕 식초 생수 
뉴욕핫도그,데치기, 핫도그빵 소세지 치커리 피클 마요네즈 케첩 머스타드소스
오징어쪽파말이,데치기, 물오징어 쪽파 소금 초장 
냉이두부샐러드,데치기,두부샐러드 두부 냉이 홍고추 청고추 장 간장 레몬즙 올리고당 고추가루 참깨 참기름 
오징어파강회,데치기, 오징어 쪽파 고추장 식초 매실액 다진마늘 설탕 
피꼬막손질,데치기, 피꼬막 소스 고추장 매실청 식초 올리고당 마늘 참깨 솔솔
곰피,데치기, 곰피 소금 갈치속젓 마늘 양파 청양고추 파 청주
새조개샤브샤브,데치기, 손질된 새조개 해감 천일염 찬물 육수용 찬물 무 은행잎모양 대파 팽이버섯 라면 초고추장 고추장 설탕 식초 물 
귀리샐러드,데치기, 귀리 렌틸콩 단호박 고구마 감자 파프리카 병아리콩 어린잎 새싹 식용장미레몬즙올리브유 꿀 요플레 레몬즙 올리브유 소금
곰취데치기,데치기, 곰취 굵은소금 
미나리강회,데치기, 소고기편육 달걀 미나리줄기 홍고추 고추장 식초 설탕 
미니양배추토마토샐러드,데치기,미니양배추 방울토마토 건과일 플레인요플레 슬라이스아몬드
지라시스시,데치기, 밥 새우 단무지 낱치알 계란 초생강 식초 설탕 소금 
원추리나물,데치기,원추리 고추장 된장 매실청 다진마늘 다진파 참기름 통깨 
미나리강회,데치기, 소고기 미나리 홍고추 달걀 초고추장 고추장 설탕 식초 
두릅숙회,데치기, 두릅 초고추장 
두릅데치기,데치기,초고추장 고추장 마늘 올리고당 매실청 식초 참깨 소금 
시금치페스토,데치기, 데친 시금치 잣 마늘 파마산치즈가루 올리브오일 소금 후추 데침용 굵은소금 
엄나무순,데치기, 엄나무순 초고추장 통깨
두부샐러드,데치기, 두부 토마토 샐러드야채 드레싱
곤드레보관,데치기, 곤드레 굵은소금 지퍼백 
갑오징어숙회,데치기, 갑오징어 고추장 식초 다진마늘 참기름 설탕 상추 통깨
쪽파숙회,데치기, 쪽파 고추장 식초 다진마늘 설탕매실액
문어숙회,데치기,문어 초고추장 무 소금 참기름
오징어쪽파말이,데치기,오징어 쪽파 초고추장
식빵애플파이,데치기,필수 사과 설탕 레몬즙 시나몬파우더 식빵 달걀 
다시마야채말이,데치기, 다시마 오이 빨주노파프리카 크래미맛살 초고추장 겨자장
토마토,데치기, 토마토 바나나 모짜랠라치즈 발사믹식초 오일
감자채샐러드,데치기, 감자 빨주파프리카 적양파 크래미 치커리 마요네즈 허니머스타드 올리고당 검은깨 
닭가슴살다시마쌈말이,데치기, 건조다시마 파프리카 깻잎 닭가슴살 무순 부추 닭가슴살 우유 대파 생강 마늘 초장 고추장 식초 설탕 마늘
호박잎데치기,데치기, 호박잎 굵은소금 
방울토마토마리네이드,데치기, 방울토마토 올리브오일 발사믹식초 레몬즙 아가베시럽 오레가노 파슬리 소금 통후추 
다시마롤,데치기, 다시마 매실장아찌 밥 강된장 홍고추 
버섯쪽파브로콜리숙회,데치기, 팽이버섯 쪽파 브로콜리 초장
아마씨샐러드,데치기, 토마토 어린잎새싹 견과류 아마씨가루 발사믹 크림 올리브유 메이플시럽 
브로콜리사과샐러드,데치기, 브로콜리 사과 소금 슬라이스아몬드 잣 견과류 취향껏 드레싱 유자청
오징어파강회,데치기, 오징어 쪽파 쪽파 데친쪽파 소금 참기름 김가루 쪽파데칠때 굵은소금 오징어데칠때 청주 
얌운센,데치기, 홍합 오징어 피망 양파 버섯 숙주 청양고추 다진마늘 피쉬소스 설탕 코리앤더가루 레몬즙 소금 후추 
미나리강회,데치기, 미나리 파프리카 계란 초장 
쪽파강회,데치기, 쪽파 김밥햄 맛살 소금 
문어숙회,데치기, 돌문어 굵은소금 식초 참기름
문어숙회,데치기, 문어 소금 밀가루 무우 
오징어숙회,데치기,필수 오징어 쪽파 장 고추장 식초 설탕 다진 마늘 참깨 
밤까는법,데치기, 밤 뜨거운물
치즈에그볼,데치기, 계란 치즈 파 버터 스푼
배추,데치기, 배추 굵은소금 물
양배추쌈,데치기, 양배추 쌈장 
꼬막,데치기, 꼬막 간장소스 간장 맛술 고춧가루 다진파 다진마늘 통깨 참기름 설탕 꼬막데친물 
당근,데치기, 당근 끓는물 
파강회,데치기, 쪽파 싸먹는오리슬라이스
브로콜리데치기,데치기, 브로콜리 베이킹소다 소금 
브로콜리김치,데치기, 브로콜리 채썬 무 채썬 양파 매실청 생강즙 멸치액젓 다진마늘 굵은 소금 굵은 고추가루 고운 고추가루 
메밀소바,데치기, 메밀면 김밥용 김 와사비 가루 무크기 가쓰오다시 다시마 간장 설탕 맛술 청주 
곰피,데치기, 곰피 초고추장 쌈장 
가리비샐러드,데치기, 가리비 새싹채소 석류 청주 소금 
브로콜리,데치기, 브로콜리 소금 물 
피조개손질,데치기, 피조개 천일염 청주 
가리비샐러드,데치기, 가리비 석류 대파 마늘가루 버터 올리브유 화이트와인 초장
오징어숙회,데치기, 오징어 소금 고추장 매실청 식초 설탕 
문어초회,데치기, 문어 다리부분 양파 오이 다시마 간장 식초 다시마물 매실액 설탕 소금 
두릅손질,데치기, 두릅 초고추장 
미역순두부샐러드,데치기, 데친 미역 순두부 한봉지 간장 다시마 멸치육수 올리고당 매실청 식초 핫소스 참기름 갈은깨 마늘 
미나리강회,데치기, 미나리 달걀 홍고추 소고기 작게 
연근손질,데치기, 연근 소금 식초 준비물 감자칼 
오징어숙회,데치기, 건미역 오징어 초고추장 고추장 매실액 올리고당 다진마늘 사과식초 참기름 통깨
훈제오리다시마말이,데치기, 건다시마 훈제오리 삼색파프리카 미나리 초고추장 고추장 사과식초 매실청 올리고당 다진마늘 레몬즙 깨소금 
라이스페이퍼만두쌈,데치기, 만두속 라이스페이퍼 월남쌈피시소스 고추가루 고추장아찌국물
쭈꾸미샐러드,데치기, 쭈꾸미 새우살 마늘 고구마 방울토마토 표고버섯 파프리카 노랑빨강 브로콜리 올리브유 소금 훈제파프리카가루 톡톡톡 파슬리가루 톡톡톡
두릅숙회,데치기, 두릅 소금 초고추장
곰피손질,데치기, 곰치 
스마일김밥,데치기, 김밥용김 소시지 밥 소금 참기름 검은깨
