CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
돼지고기호박전,부침, 애호박 돼지고기 다짐육 두부 청양고추 밀가루 달걀 청주 다진마늘 참기름 간장 소금 후추 
새우야채전,부침, 새우살 계란 쪽파 파프리카 중력분 올리브유 소금
치즈오믈렛,부침, 달걀 슬라이스치즈 우유 소금 버터 
검은콩깻잎전,부침, 검은콩 깻잎 양파 당근 부침가루 물 소금 
스위트콘계란전,부침, 계란 스위트콘 부추 올리브유 소금 
감자채전,부침, 자주 감자 부추 양파 녹말 올리브유 소금 
스페니쉬오믈렛,부침, 감자 큰거 베이컨도 토마토 충전물 파마산치즈 기호에따라서 우유 계란 소금 후추 핫소스 기호에따라서
스팸부추전,부침, 스팸 약 부추 계란 올리브유 
전,부침, 콤프리 중력분부침가루 물 계란 올리브유 소금
연근전,부침, 연근 소금 밀가루 식용유 밀가루옷 물 밀가루 간장 참기름 초간장 간장 식초 통깨
호떡,부침, 중력분 찹쌀가루 물 인스턴트드라이이스트 탈지분유 소금 설탕 흑설탕 계핏가루 다진땅콩 통깨 검은깨 
해물파전,부침, 해물모듬 쪽파 청양고추 홍고추 달걀 식용유 반죽 부침가루 찹쌀가루 물 달걀 
파래김치전,부침, 파래 김치 부침가루 물
장떡,부침, 부추 깻잎 양파 고추 밀가루 물 고추장 된장 소금 
두부부침,부침, 두부 달걀 전분 기름 소금 장 발사믹식초 가츠오육수 생수 통깨
해물파전,부침, 부침가루 계란 오징어 조개살 쪽파 자색감자 양파 물 초고추장
두부김치전,부침, 김치 두부 돼지고기간거 양파 부침가루 계란 김치국물 
호박전,부침, 애호박 밀가루 달걀 식용유 홍고추 소금 
버섯달걀오믈렛,부침, 달걀 백일송이버섯새송이느타리버섯도 가능 파프리카빨강노랑초록 햄 양파 소금 후추 오일 체다치즈 모짜렐라치즈 시판스파게티소스 토마토 작은것 
참치야채전,부침, 두부 당근 파 버섯 계란 참치 밀가루 다진마늘 소금 후추
참치전,부침, 참치통조림 감자 양파 달걀 카레가루 소금 후추 밀가루 버터 식물성 기름 
양배추오징어부침,부침, 오징어 양배추 적양파 청양고추 쪽파 반죽 계란 밀가루 물 마늘 소금 후추 마요네즈 초간장 간장 식초 
하트계란말이,부침, 계란 대파 홍피망 후랑크 소시지 양파 소금 
크레이프,부침,크레이프 우유 강력분 계란노른자 버터 커스터드 크림 계란 노른자 옥수수전분 박력분 우유 설탕 버터 바닐라에센스 
연근새우전,부침, 연근 칵테일새우 마분말또는 부침가루 식용유 쑥갓 홍고추 소금 
부추굴전,부침, 부추 굴 밀가루 물 달걀 소금 후추 
해물파전,부침, 밀가루 물 계란 부침용기름 쪽파 당근 해물 소금 후추 
미나리전,부침, 미나리잎 크게 새우 칵테일새우 이용하면 더 좋아요 부침가루 듬뿍 물 정도 분량
삼겹살김치전,부침, 김치 삼겹살 부침가루 물 
비지완자전,부침, 비지 돼지고기 밀가루 대파 계란 식용유 소금 후추 
치즈달걀팬케이크,부침, 대파 햄 달걀 벨큐브치즈햄맛 식용유 후춧가루 케찹
배추부침개,부침, 밀가루 소금 물 배추 폰즈 소스 간장 매실액기스 청주 물 다진양파 대파
피망전,부침, 피망 자투리 양파 소고기 밀가루 달걀 간장 다진 마늘 다진 파 참기름 참깨 후추 
깻잎참치전,부침, 깻잎작은 것 캔참치 양파 당근 애호박 양파 밀가루 소금 후추 식용유 
브로콜리야채계란말이,부침, 계란 브로콜리 당근 양파 올리브유 우유 소금 후춧가루
김치치즈계란말이,부침, 계란 우유 김치 피자치즈 소금 
새송이버섯전,부침, 새송이버섯 계란 밀가루 식용유 새싹
카레볶음밥전,부침, 밥 다진 소고기 붉은 피망 피망 밀가루 달걀 식용유 카레가루 소금 소고기 간장 후추가루 설탕 다진 마늘 
해물밥전,부침, 밥 밀가루 달걀 소금 식용유 알새우 오징어 몸통 청피망 미니 파프리카 양파 굴소스 소주 혼다시 흑후추 
브로콜리계란말이,부침, 계란 소시지 데친 브로콜리 식용유 전분 밀가루 소금
굴전,부침, 굴 밀가루 달걀 소금
대하전,부침, 대하 오징어 붉은 고추 풋고추 대파 밀가루 식용유 소금 후추 참기름
오징어전,부침, 오징어 몸통 다진 소고기 밀가루 달걀흰자 부분 식용유 오징어 소금 참기름 소고기 간장 다진 부추 다진 파 당근 다진 마늘 후추 참기름 통깨 
햄오믈렛,부침, 리챔 양파 계란 냉장고 속 혼합야채 당근 피망 옥수수 양파 소금 후추 
훈제오리파전,부침, 밀가루 유황훈제오리 계란 대파 파프리카 다시물 소금 초간장소스 간장 다시물 식초 
계란말이핫도그,부침, 핫도그용빵 소세지 계란 양상추 다진양파 다진양배추 케찹 칠리소스 마요네즈 머스터드 
찹쌀지짐이,부침,호박반죽 찹쌀가루 호박가루 뜨거운물 녹차반죽 찹쌀가루 녹차가루 뜨거운물 고구마 반죽 찹쌀가루 자색고구마가루 뜨거운물 고명 잣 설탕시럽 설탕 물꿀 
모듬전,부침, 오징어 깻잎 마른표고버섯 느타리버섯 새우 밀가루 계란 새우 밑간 소금 후추 표고버섯 밑간 간장 설탕 참기름 쇠고기 속 쇠고기 두부 다진마늘 소금 후추 깨소금 참기름 
굴계란말이,부침, 계란 굴 다진홍고추나 빨강 파프리카 부침기름 들기름 후추 
밥새우달걀말이,부침, 계란 밥새우 다진파 청주 
치즈계란말이,부침, 계란 슬라이스치즈 소금 
해물전,부침, 오징어 중새우 게맛살 부추 고추 대파 양파 계란 밀가루 물 소금 후추 마늘 
애호박깻잎부침개,부침, 애호박 당근 깻잎 양파 계란 물 부침가루 찹쌀가루 식용유 소금 후추 
참치버섯완자전,부침, 캔참치 만가닥버섯 청 피망 홍 피망 양파 밀가루 달걀 소금 후추 
햄버거,부침, 다진 쇠고기 양파 빵가루 계란 치즈 상추 토마토 양파 고기밑간 다진마늘 다진 파 소금 후추 넛맥 소스 허니머스타드소스 케찹 마요네즈
새우파래전,부침, 파래 새우살 밀가루 계란 물 들기름 
참치연근전,부침,참치연근전 참치 연근 양파 청피망 홍피망 두부 밀가루 계란 전분 피망연근전 연근 청피망 홍피망 밀가루 계란 참치연근전 후추 물 식초 
동래파전,부침, 쪽파 부침가루 쌀가루 물 오징어 새우 홍합 계란 소금 후추 식용유 
굴전,부침, 밀가루 생굴 계란물 계란 다진파 다진마늘 고추 미림 소금 후추 두반장소스 두반장 설탕 간장 물 식초 마늘 
동그랑땡,부침, 돼지고기 다진 것 양파 당근 애호박 녹말가루 소금 후추 아주
참치계란말이,부침, 캔참치 양파 당근 대파 계란 소금 후추 
고기호박전,부침, 애호박 다진소고기 밀가루 계란 소금 다진소고기밑간 간장 다진마늘 다진파 참기름 후추가루 
쌀호떡,부침,반죽 강력 쌀가루 전분 설탕 소금 드라이 이스트 속 흑설탕 전분 계핏가루 소금 다진 땅콩 
카레밥동그랑땡,부침, 밥 양파 당근 부추 버섯 참치 정도 새우밥 계란 카레가루 소금 
찹쌀호박전,부침, 늙은호박 찹쌀가루 부침가루 소금 포도씨유 꿀이나올리고당
배추달걀말이,부침, 달걀 데친 배추잎 김밥용김 데친 시금치 기름 국시장국 
홍합부추전,부침, 홍합살 부추 홍고추 부침가루 물 반죽되기에 맞춰 기름 소금 맛술 
두부전,부침, 두부 파프리카 애호박 양파 계란 노른자 검은깨 소금 
깻잎게살치즈전,부침, 깻잎 크래미 슬라이스치즈 달걀 부침가루 기름 
오징어동그랑땡,부침, 오징어 두부 양파 홍고추 피망 밀가루 소금 다진마늘 후추가루 
볶음밥계란말이,부침, 당근 파프리카 오이 햄 양파 밥 칠리소스없어도 되요 케첩
두부달걀햄버그,부침, 두부 달걀 밀가루 소스 머스터드소스 케첩 마요네즈 
매생이달걀말이,부침, 달걀 기름 매생이 
계란말이,부침, 계란 쌀밥 양파 캔햄 버섯류 대파 소금 후추 케첩 식용유 계란 밑간 소금 미림 설탕 
치즈달걀말이,부침, 계란 치즈 소금 후추 
매생이달걀말이,부침, 달걀 매생이 식용유 
오징어동그랑땡,부침, 오징어 당근 양파 애호박 맵쌀가루 달걀 다진마늘 소금 후추 식용유 
두부샌드,부침, 두부 녹차 먹인 앞다리살 채 설어서 청고추 홍고추 카놀라유 전분가루 소금 고기 밑간 간장 매실 엑기스 마늘 다진거 생강 다진거 참기름 
매생이빈대떡,부침, 매생이 밀가루나 부침가루 달걀 파프리카 고추 피망자투리들 식용유 소금 다시물 초장비율 간장 다시마물 식초 설탕 
김치두부부침개,부침, 신김치 두부 오징어 부침가루 물 들기름 소금 후추 김칫국물 
맛살야채전,부침, 맛살 양파 당근 양송이 버섯 피망 달걀 부침가루 밀가루 물 식용유 소금 후춧가루 
캐러멜너트호떡,부침, 중력분 굵은소금 이스트 따뜻한물 흑설탕 캐러멜너트
