CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
오이김치,절임, 오이 소금 물 고추가루 다진마늘 매실청 깨소금 
매실장아찌,절임, 매실 황설탕 매실장아찌 고추장 참기름 통깨 
양배추오이깍두기,절임, 양배추 절임용 굵은소금 물 오이 실파 청양고추 절임용 굵은소금 굵은 고춧가루 새우젓 다진 마늘 다진 생강 설탕 
배추겉절이,절임, 배추 대파 천일염 새우젓 새우젓 국물 통깨 참기름 다진마늘 설탕 고춧가루 
오이소박이,절임, 오이 천일염 부추 양파 홍고추 다진 마늘 멸치액젓 새우젓 깨 설탕 매실청 고춧가루 다진생강 
야채간장장아찌,절임, 무 오이 양파 청양고추 간장
포도쨈,절임, 포도 올리고당 
레몬청,절임, 레몬 올리고당 설탕
파프리카깍두기,절임, 무 천일염 빨간파프리카 마늘 양파 설탕 새우젓 밥 
무초절임,절임, 무 식초 초절임물물 고춧가루 백설탕 식초 
배깍두기,절임, 배 부추 새우젓 고춧가루 천일염 설탕 다진 마늘 다진 생강 
비트과일물김치,절임, 비트 사과 배 당근 마늘 다시마물 잣 소금 
깻잎김치,절임, 깻잎 양파 당근 마늘 맛간장 매실청 고추가루 통깨 
매실장아찌,절임, 매실장아찌 고추장 물엿 마늘 참기름 통깨 
대하장,절임, 대하 진간장 매실청 청주 국물멸치 양파 새송이버섯 사과 마늘 생강 사방 마른 고추 통후추 진간장 매실청 청주 국물멸치 양파 새송이버섯 사과 마늘 생강 사방 마른 고추 통후추 
파김치,절임, 파 멸치액젓 찹쌀가루 물 고춧가루 멸치다시마육수 생강가루 설탕 통깨 미원 소금 
오징어젓,절임, 생물오징어 마늘 절임 천일염 올리고당 청주 큰술 고추가루 생강즙 참기름 통깨 
깍두기,절임, 무중간 크기 파 액젓 소금 고춧가루 설탕 다진마늘 액젓 소금 고춧가루 설탕 다진마늘 
김장아찌,절임, 김 생강채 마늘채 간장 물엿 청주 물 설탕 식초 양파 생강 다시마 마늘 마른고추
석류효소,절임, 석류 설탕
방울토마토마리네이드,절임, 방울토마토 다진양파 올리브유 레몬즙 올리고당 소금 후추 파슬리가루
곤부즈메,절임, 광어 다시마 청주 산마 토마토마리네이드 폰즈소스
생강절임,절임, 생강 꿀 
치킨무,절임, 무 물 식초 식초 소금 설탕 
북어다시마장아찌,절임, 황태채 건다시마 호박 고추장 또는 찹쌀 고추장 황물엿 또는 쌀엿 매실청 
양파고추장아찌,절임, 양파 간장 물 설탕 식초 
마늘장아찌,절임, 마늘 식초 진간장 식초 설탕 물 
깍뚜기,절임, 무 쪽파 무절임 굵은천일염 찹쌀풀 고춧가루 마늘 생강 양파 새우젓 액젓 소금 
동치미,절임, 동치미무 갓 쪽파 생강 마늘 사과 배 삭힌고추 소금 
어리굴젓,절임, 굴 무 배 소금 설탕 생강술 소금 미원 
깻잎장아찌,절임, 삭힌 깻잎 액젓 찹쌀풀 물엿 다진마늘 쪽파 고추가루 간장 
간장게장,절임, 암케 간장 물 마늘 생강 소주 사과 양파 청양고추 대파 홍고추 베트남고추 월계수잎 물엿 황기 마른표고버섯 오가피 당귀 통후추
생강도라지청,절임, 도라지 생강 설탕 
석박지,절임, 무 큰것 쪽파 무절이기 소금 설탕 찹쌀풀 고춧가루 액젓 매실액 다진마늘 생강가루 설탕 
깻잎간장절임,절임, 깻잎 청량고추 간장 마늘 요리당 통깨 대파 물 
파김치,절임, 파 찹쌀가루 물 고춧가루 액젓 생강가루 통깨 찹쌀풀 올리고당 
장아찌,절임, 다시마 멸치 디포리 양파 대파 통마늘 마른표고버섯 청양고추 당근 간장 맛술 물엿 통깨 
레디쉬김치,절임, 레디쉬 물 생강 마늘 찹쌀풀 양파 미나리 고춧가루 새우젓 함초 자염 
간장게장,절임, 암게 간장 물 마늘 생강 소주 사과 양파 청양고추 대파 홍고추 베트남고추 월계수잎 물엿 황기 마른표고버섯 오가피 당귀 통후추
양파와인,절임, 레드와인 단맛 거의 없는걸로 중간크기 양파 소독된 유리병 
김장아찌,절임, 김 간장 맛간장 조청 생강 통깨 멸치육수 고추장 
쌈무,절임, 무 식초 설탕 소금 물 
파김치,절임, 쪽파 고춧가루 음나무진액 찹쌀가루 새우젓 함초자염 밤
곤달비장아찌,절임, 곤달비나물 장아찌 물 조선간장 음나무진액 새우 다시마 표고버섯 건고추 통마늘 명태 사과 김치 건고추 토마토 고춧가루 파 마늘 통깨 멸치액젓
야채피클,절임, 파프리카 브로콜리 양파 오이 물 설탕 소금 피클링스파이스 식초 
파김치,절임, 쪽파 멸치액젓 고춧가루 물 다진생강 다진마늘 설탕 통깨 찹쌀풀 찹쌀가루 물 
오이소박이,절임, 오이 부추 양파 홍고추 청양고추 다진 마늘 멸치액젓 새우젓 깨 설탕 매실청 다진 생강 
파김치,절임, 쪽파 고춧가루 멸치액젓 매실액 설탕 찹쌀풀 
오이소박이,절임, 오이 부추 소금 오이절이기 물 소금 멸치액젓 고춧가루 다진마늘 다진생강 설탕 통깨 
쑥효소,절임, 비율 쑥 유기농설탕 
오이피클,절임, 오이 물 설탕 식초 소금 피클링스파이스 
두릅장아찌,절임, 두릅 양조간장 식초 설탕 물 소주
김치,절임, 섬엉겅퀴 토마토 양파 대파 야콘음료 유자즙 찹쌀 고춧가루 마늘 
엄나무순장아찌,절임, 엄나무순 양조간장 식초 설탕 물 소주
두릅장아찌,절임, 엄나무순 간장 식초 물 설탕 
무초절임,절임, 무작은 크기 설탕 식초 생수 소금 
열무물김치,절임, 열무 굵은 천일염 건고추 고추가루 마늘 생강 대파 청양고추 찹쌀풀 설탕 통깨 소금 물
오이소박이,절임, 오이 당근 부추 양파 오이 절임 굵은 소금 고춧가루 새우젓 설탕 생강 다진마늘 간양파 밀가루풀
열무김치,절임, 열무 얼갈이 물 밀가루 양파 쪽파 굵은소금 다진마늘 생강 양파 새우젓 굵은소금 고추가루 홍고추 설탕 
총각김치,절임, 알타리 쪽파 큰거 고춧가루 굵은소금 굵은소금 새우젓 장 설탕 밀가루풀 물 밀가루 
매실,절임, 매실 설탕 올리고당
매실청,절임, 매실 무슈구슈 매실에이드 매실청 탄산수 얼음 
매실청,절임, 매실 황설탕 올리고당 
깻잎김치,절임, 깻잎 당근 양파 작은 것 홍고추 고춧가루 물혹은 다시마육수 다진마늘 올리고당 설탕 멸치액젓 생강소스가루나 즙 참깨 듬뿍
매실청,절임, 매실 유기농설탕 
매실장아찌,절임, 매실 설탕
매실,절임, 토종매실 유기농황설탕 
비트발효액,절임, 비트 소독된 항아리 헝겊 고무줄 황설탕 
