CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
치킨버거,기타, 토마토 양상추 피클 자색양파 빵 고기밑간 소금 후추 허브솔트 후라이드가루 소스 마요네즈 머스타드소스
마요네즈,기타, 식용유 달걀 설탕 식초 시판 레몬즙 소금 후추가루 
수박빙수,기타, 수박쥬스얼린것 수박 복숭아 참외 젤리 빙수떡 우유 팥
수박쥬스,기타, 수박 빨대 쿠키틀 얼음 설탕
과일요거트샐러드,기타, 수박 복숭아 자두 바나나 플레인요구르트
인삼쉐이크,기타, 수삼 우유 각얼음 설탕시럽 설탕시럽 비율 황설탕 물 
복숭아아이스크림,기타,크림앙글레즈 설탕 바닐라설탕 노른자 생크림 우유 복숭아퓨레 복숭아 껍질깐것 설탕 레몬즙 
레몬에이드,기타, 레몬 설탕시럽 탄산수 얼음 
크림치즈카나페,기타, 토마토 방울토마토 맛살 베이컨 겨자잎 크림치즈
닭가슴살야채말이,기타, 닭가슴살햄 빨간 파프리카 아오리 사과 맛살 슬라이스치즈 새싹 새싹 시판허니머스터드소스 취향껏
호두우유,기타, 호두 꿀 우유 
초코치즈케이크,기타, 크림치즈 사워크림 플레인요거트 설탕 레몬즙 판젤라틴 화이트초콜릿 생크림 쿠키바닥 곡물쿠키 버터 
바게트참치샌드위치,기타, 바게트 참치캔 양파 스팸 작은것 슬라이스치즈 양상추 치커리 소금 후추 
마요네즈,기타, 올리브유 포도씨유 달걀 식초 소금 후춧가루 
파인애플생크림케이크,기타, 냉동생지제누아즈 파인애플 생크림 설탕 꿀 물
샐러드,기타, 양상치 양파 키위 방울토마토 햄 맛살 키위드레싱 키위 양파 파인애플통조림 소금 레몬즙
라이스페이퍼롤,기타, 라이스페이퍼 닭가슴살 오이 깻잎 당근 양파 빨강파프리카 노랑파프리카 알팔파 고기밑간 소금 후추 새우밑간 소금 후추 레몬즙 땅콩소스 땅콩버터 마요네즈 식초 설탕 간장 작은술 오렌지소스 오렌지쥬스 굴소스 간장 꿀 레몬즙 다진마늘 참기름 녹말가루 물 사과소스 사과간 것 마요네즈 레몬즙 머스타드 꿀 소금 
꼬마김밥,기타, 김 부추 당근 단무지 밥 올리브유 참기름 통깨 소금
나박물김치,기타, 배추 무 생강 마늘 쪽파 홍고추 미나리 배 양파 김치국물 소금 고추 가루 설탕 멸치 액젓 
햄에그샌드위치,기타, 삶은달걀 삶은 감자 중간 슬라이스햄 슬라이스치즈 토마토 양상추 피클 버터 샌드위치용 식빵 마요네즈 허니머스터드 소금 후추
샐러드,기타, 브로콜리 파프리카 배 치즈 백도 자두 플레인요구르트 올리고당
미니버거,기타, 돼지고기살코기 두부 대파 양파 마늘 소금 모닝빵 키위 치즈 양상치 방울토마토 고기밑간 후추 통깨 참기름 미니버거 소스 돈까스소스 딸기쨈 케첩
스팸야채무쌈말이,기타, 스팸 쌈용무 팽이버섯 파프리카 무순 머스타드소스
토마토쥬스,기타, 토마토 우유 각얼음 올리고당
두유,기타, 흰콩 볶은깨 호두 잣 땅콩 소금
불고기샌드위치,기타, 시판 소불고기 식빵 상추 토마토 양파 마요네즈 돈가스 소스 
계란초밥,기타, 계란 밥 다시마 김밥용 김 참기름 흑임자 참깨 설탕 약고추장
바나나식빵롤,기타, 바나나 식빵 밀대 랩 귤잼 딸기잼 슈거파우다
브로콜리새우샐러드,기타, 브로콜리 칵테일새우 소금 후춧가루 우유 올리브오일 검은깨 식초 설탕 마요네즈 
