CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
파프리카비빔국수,비빔, 소면 양파 파프리카 상추 깻잎 고추장 고춧가루 식초 물엿 다진청양고추 다진 마늘 깨 참기름 몇방울
비빔만두,비빔, 닭고기 애호박 두부 파 감자전분 미나리 오이 당근 상추 적양배추 양배추 비빔 장 고추장 간장 매실청 참기름 깨소금 다진마늘 식초 닭고기 밑간 간장 집간장 참기름 깨소금 다진마늘 후추
야채비빔만두,비빔, 냉동군만두제품 식용유 골드키위 방울토마토 참외 오이 양배추 당근 깻잎 미나리 부추 파프리카 슬라이스아몬드 삶은달걀 초고추장
열무김치비빔국수,비빔, 열무김치 익은김치 소면 고추장 간장 식초 설탕 또는 올리고당 참기름 통깨 
해삼내장비빔밥,비빔, 밥 고도와다 다진파 김가루 통깨 참기름 
참치쌈장,비빔, 참치캔 양파 다진 애호박 청양고추 멸치다싯물 된장 고추장 다진마늘 다진파 
야채비빔만두,비빔, 당면 만두 양배추 적채 노랑파프리카 빨강파프리카 오이 아삭이상추 달걀 장 고추장 고추가루 간장 매실청 물엿 식초 참기름 다진마늘 통깨 소금 후추 
참치비빔밥,비빔, 참치 당근 오이 깻잎 콩나물 고추장 정종 매실청 물엿 
비빔국수,비빔, 소면 양배추 적색양배추 깻잎 오이 새싹채소 파프리카 굵은소금 장 고추장 진간장 매실엑기스 식초 설탕 참기름 다진마늘 
메밀비빔국수,비빔, 쓴메밀면 김장김치 삶은 달걀 장 고추장 매실즙 올리고당 식초 다진마늘 술 통깨 참기름 
멍게비빔밥,비빔, 멥쌀 멍게 깻잎 오이 당근 소금 고추장 매실청 식초 통깨 참기름 
알밥,비빔, 밥 날치알 신김치 단무지 우엉조림 맛살 김가루 참기름 식용유 통깨 
참치마요주먹밥,비빔, 참치캔 밥 다진양파 당근 브로콜리 오이피클 달걀노른자 통깨 소금 후추 참기름 
멍게비빔밥,비빔, 멍게 당근 상추 깻잎 오이 양배추 적채 홍고추 고추장 설탕 물엿 식초 레몬즙 발효겨자 다진 마늘 다진 생강 깨소금 참기름 
참치유부초밥,비빔, 밥 참치캔 오이 양배추 양파 깻잎 시판유부초밥 밥 마요네즈 후추가루
비빔쫄면군만두,비빔, 쫄면 상추 오이 당근 깻잎 양배추 고추장 고춧가루 식초 레몬즙 매실청 물엿 간장 다진마늘 참기름 깨소금 
꼬막비빔국수,비빔, 꼬막 양파 깻잎 당근 오이 국수 고춧가루 식초 설탕 고추장 간장 다진파 다진마늘 꿀 참기름 깨소금 
비빔국수,비빔, 소면 새싹 고추장 간장 매실액 올리고당 식초 참기름 
전복비빔냉면,비빔, 냉면 애기 전복 개 다진 잣 새싹 조림장 비율 물 간장 설탕 마늘즙 생강즙 참기름 무 오이 절임 비율 식초 소금설탕 장 비율 양파 개 사과 개 마늘 쪽 고추가루 고추장 꿀 식초컵 매실청 컵 설탕 소금 연겨자 
나물비빔밥,비빔, 고사리 당근 표고 도라지 취 시금치 콩나물 달걀 표고가루 식용유 참기름 매실엑기스 다진마늘 간장 소금 고추장 매실엑기스 참기름 땅콩분태 
비빔칼국수,비빔, 칼국수면 양파 김치 고추 고추장 매실청 마늘다진것 후추 깨소금 연두 참기름
떡갈비김밥,비빔, 시판떡갈비 시금치나물 김치 깻잎 단무지
간장나물비빔밥,비빔, 나물 달걀 밥 간장 참기름 통깨
과일비빔국수,비빔, 소면 호박 생표고버섯 단감 사과 소금 참기름 검정깨 표고버섯 간장 설탕 참기름 다진마늘 
도토리묵샐러드,비빔, 상추 도토리묵 진간장 설탕 식초 레몬즙 올리브유 후추 들깨가루 
단호박고구마과일샐러드,비빔, 단호박 고구마中 귤 양상추 넉넉히 파프리카 석류알 소스 레몬즙 소금 플레인 요구르트 프렌치드레싱 프렌치드레싱 레몬즙 샐러드오일 식초 설탕또는 꿀 머스터드소스 소금 양파 다진것 오이피클 다진것 
비빔냉면,비빔, 냉면사리 무 오이 삶은 달걀 장 참기름 통깨 장 배 양파 다진 마늘 다진 생강 진간장 국간장 설탕 포도당 구연산 물엿 맛소금 참깨 고운 고춧가루 단촛물 식초 설탕 소금 
시래기밥,비빔, 쌀 썰어놓은 시래기 시레기밥 들기름 참치액 다진마늘 육수 간장 국간장 다진 양파 다진파 깨소금 참기름 
비빔국수,비빔, 소면 오이 사과 치커리 양배추 천일염 고추장 고춧가루 매실청 올리고당 식초 다진마늘 천일염 통깨 참기름 
삼색꼬마김밥,비빔, 밥 데친시금치 당근 달걀 소금 포도씨유 통깨 참기름 김밥용김 시금치무침 다진마늘 참기름 소금 참기름
삼색주먹밥,비빔,카레주먹밥 다진 당근 다진 양파 다진 피망 밥 식용유 단무지 주먹밥 다진 단무지 밥 날치알 주먹밥 날치알 밥 카레 주먹밥 카레 파슬리가루 단무지 주먹밥 매실청 소금 깨소금 시치미 날치알 주먹밥 소금 참기름 검정깨 
참치덮밥,비빔, 밥 참치 통조림 상추 껫잎 무순 새싹채소 김 고추장 설탕 큰술 마늘 참기름 사이다 식초 큰술 통깨 소금 
명엽채주먹밥,비빔, 밥 명엽채 김밥용김 마요네즈 허니머스타드 간장 물엿 후리가케 포도씨유 다진마늘 참기름 통깨 
수삼야채샐러드,비빔, 수삼 치커리 새싹채소 노랑파프리카 빨강파프리카 닭가슴살 메추리알 사과 유자청 꿀 우스터소스 와사비 마요네즈 
양상추간장비빔국수,비빔, 소면 한줌 하고 더 양상추 정도 달걀 설탕 다진파 다진양파 식초 간장 통깨 다진마늘 참기름 
닭가슴살야채비빔라면,비빔, 라면 닭가슴살 통조림 쌈채소 간장 설탕 깨소금 다진마늘 참기름 고춧가루 
김치비빔국수,비빔, 소면 김치 오이 삶은 달걀 고추장 매실청 설탕 참기름 참깨 
대게채소비빔밥,비빔, 대게 기준 밥 새싹채소 무순 상추 김가루 고추장 참기름 
김치메밀비빔국수,비빔, 메밀면 김장김치 고추장 진간장 매실액 올리고당 식초 다진마늘 통깨 참기름 
나물비빔밥,비빔,시래기나물 시래기 들기름 국간장 다진마늘 다진파 통깨 고춧잎나물 건고춧잎 들기름 국간장 다진마늘 다진파 통깨 콩나물볶음 콩나물 포도씨유 다진마늘 소금 참기름 다진파 통깨 소고기표고버섯볶음 소고기 표고버섯 간장 설탕 참기름 다진마늘 깨소금 다진파 밥 
골뱅이비빔밥,비빔, 밥 골뱅이 깻잎 청양고추 붉은 고추 양배추 상추 쑥갓 오이 참깨 고추장 설탕 물엿 식초 레몬즙 발효겨자 다진 마늘 다진생강 참깨 
쇠고기간장비빔국수,비빔, 국수 계란 표고버섯 다진쇠고기 오이볶음 소금 오이볶음 오이 소금 다진쇠고기 시판용 불고기 표고버섯 시판용 불고기 국수 간장 설탕 참기름 
자몽샐러드,비빔, 자몽 샐러드채소 드레싱 꿀 식초 레몬즙 소금 후춧가루 요플레 마요네즈 매실액 
