CKG_NM,CKG_MTH_ACTO_NM,CKG_MTRL_CN
가지조림,조림, 가지 소 노란 파프리카 빨간 파프리카 양파 참기름 올리브유 청피망 굴소스 진간장 맛술 물 다진마늘 요리당 
굴비조림,조림, 굴비 감자 무 대파 양파 청양고추 쑥갓 진간장 액젓 다진마늘 생강가루 맛술 요리당 후춧가루 
닭인삼말이,조림, 닭가슴살 수삼 대추 소금 후추 밀가루 고추장 설탕 다진 마늘 다진파 청주 양파즙 참기름 물 
돼지고기마늘말이,조림, 돼지고기등심 마늘 물 돼지고기 밑간 소금 후춧가루 장 진간장 매실엑기스 다진마늘 다진대파 올리고당 맛술 생강즙 
단호박닭날개조림,조림, 닭날개 단호박 양파 홍고추 마늘 간장 물엿 조미술 다시마국물 소금 후추 참기름 
새송이장조림,조림, 새송이버섯 건고추 마늘 다시마사방 조림장 진간장 물엿 물 
호두조림,조림, 호두 물 간장 설탕 물엿 
폭찹,조림, 돼지고기 목살어느부위든 가능 밀가루 고기 밑간 소금 후추 청주 소스 사과 토마토 양파 피망 빨강 파프리카 토마토 페이스트 샐러리 소금 올리고당 
메추리알오징어장조림,조림, 메추리알 오징어 청양고추 물 간장 다진마늘 조청 후추 
연근조림,조림,연근조림 연근 식초 연근전 연근 다진 쇠고기 밀가루 부침가루 연근조림 소스 다시마물 간장 올리고당 포도씨유 참기름 통깨 쇠고기 다진마늘 소금 후추 진간장 맛술 참기름 
고등어김치조림,조림, 고등어 김치 고추가루 마늘 간장 식초 후추 생강가루
단호박호두조림,조림, 단호박 호두 건대추 물엿 진간장 맛술 설탕 물 
알감자조림,조림, 알감자 마른고추 파 마늘 다시마멸치육수 간장 맛술 물엿 
닭날개간장조림,조림, 닭날개 통마늘 청양고추 월계수잎 밑간 소금 후추 청주 소스 간장 레드와인 올리고당 굴소스 설탕 물 후추 생강즙 핫소스 
사과잼크레이프,조림, 사과 계피가루 핫케 가루 아이스티 버터 
갈치조림,조림, 갈치 양파 무 물 홍고추 청고추 청양고추 대파 생강 통감자 굵은소금 간장 미림 고추장 고춧가루 후추 소금 다시마 
치킨조림,조림, 닭 중간크기 고기밑간 소금 후추 마늘 생강 소스 진간장 올리고당 와인 식초 생수 
버섯와인닭조림,조림, 토종닭 백일송이 베이컨 그린빈스 브로콜리 빨강파프리카 노랑파프리카 양파 박력분 레드와인 마늘 소금 후추 올리고당 
새송이버섯고기조림,조림, 새송이 버섯 쇠고기 다짐육 돼지고기 다짐육 밀가루 참깨 흑임자 다진 마늘 후추 스푼 조림장 간장 맛술생략 가능 물 설탕 
두부조림,조림, 두부 식용유 파 두부 밑간 소금 후추 장 간장 고춧가루 설탕 다진 마늘 물 후추 참기름 깨소금 
무갈치조림,조림, 갈치 중 무 멸치 다시마 육수 파 청양고추 고추가루 고추장 간장 생강즙 맛술 설탕 
메추리알깍두기조림,조림, 깍두기 메추리알 다시마육수 고추장 들기름 
닭봉조림,조림, 닭봉 양파 마늘 생강 통후추 말린 빨간고추 청양고추 홍고추 밤이나대추 간장 맛술 설탕 참기름 물 
과메기조림,조림, 과메기 홍고추 풋고추 마늘 통깨 진간장 매실즙 맛술 올리고당 고춧가루 후춧가루 
사태,조림, 쇠고기 사태 마늘 대파 초록부분 빼고 양파 물 당근 감자 간장 설탕 다진파 다진마늘 다진양파 참기름 후추 통깨 
새송이두부조림,조림, 두부작은것 새송이버섯 청양고추 홍고추 간장 매운고춧가루 두반장소스 다진마늘 맛술 참기름 
동파육,조림, 목심 보쌈용 파 양파 마늘 청주 숙주 마늘다진것 청주 간장 해선장소스 후추 설탕 참기름 
미트볼고구마조림,조림, 육우우둔살 양파 계란 빵가루 소금 후춧가루 맛술 밀가루 꽈리고추 고구마 식용유 다진마늘 토마토케첩 귤쥬스 설탕 핫소스 소금 
무청고등어조림,조림, 자반고등어 무청시래기 대파 청양고추 물 매운고춧가루 간장 다진마늘 생강 청주 표고버섯가루 
감자조림,조림, 애기감자 진간장 물 설탕 물엿 깨소금
연근조림,조림, 손질한 연근 식초 조림장 물 다시마사방 진간장 흑설탕 물엿 참기름 통깨 
